Visual ReactionTime Block1;Visual Stimuli Onset Time Block1;Visual Stimuli Offset Time Block1;Visual Fixation Cross Onset Time Block1;Visual Fixation Cross Offset Time Block1;Visual Blank Screen Onset Time Block1;Visual Blank Screen Offset Time Block1;Visual Feedback Onset Time Block1;Visual Feedback Offset Time Block1;Visual Stimuli On Screen Time Block1;Visual Presented Condition Block1;Visual Answers Block1;Visual Answer Codes Block1;Audio ReactionTime Block1;Audio Stimuli Onset Time Block1;Audio Stimuli Offset Time Block1;Audio Fixation Cross Onset Time Block1;Audio Fixation Cross Offset Time Block1;Audio Blank Screen Onset Time Block1;Audio Blank Screen Offset Time Block1;Audio Feedback Onset Time Block1;Audio Feedback Offset Time Block1;Audio Stimuli On Screen Time Block1;Audio Presented Condition Block1;Audio Answers Block1;Audio Answer Codes Block1;Audio Visual ReactionTime Block1;Audio Visual Stimuli Onset Time Block1;Audio Visual Stimuli Offset Time Block1;Audio Visual Fixation Cross Onset Time Block1;Audio Visual Fixation Cross Offset Time Block1;Audio Visual Blank Screen Onset Time Block1;Audio Visual Blank Screen Offset Time Block1;Audio Visual Feedback Onset Time Block1;Audio Visual Feedback Offset Time Block1;Audio Visual Stimuli On Screen Time Block1;Audio Visual Presented Condition Block1;Audio Visual Answers Block1;Audio Visual Answer Codes Block1;Visual ReactionTime Block2;Visual Stimuli Onset Time Block2;Visual Stimuli Offset Time Block2;Visual Fixation Cross Onset Time Block2;Visual Fixation Cross Offset Time Block2;Visual Blank Screen Onset Time Block2;Visual Blank Screen Offset Time Block2;Visual Feedback Onset Time Block2;Visual Feedback Offset Time Block2;Visual Stimuli On Screen Time Block2;Visual Presented Condition Block2;Visual Answers Block2;Visual Answer Codes Block2;Audio ReactionTime Block2;Audio Stimuli Onset Time Block2;Audio Stimuli Offset Time Block2;Audio Fixation Cross Onset Time Block2;Audio Fixation Cross Offset Time Block2;Audio Blank Screen Onset Time Block2;Audio Blank Screen Offset Time Block2;Audio Feedback Onset Time Block2;Audio Feedback Offset Time Block2;Audio Stimuli On Screen Time Block2;Audio Presented Condition Block2;Audio Answers Block2;Audio Answer Codes Block2;Audio Visual ReactionTime Block2;Audio Visual Stimuli Onset Time Block2;Audio Visual Stimuli Offset Time Block2;Audio Visual Fixation Cross Onset Time Block2;Audio Visual Fixation Cross Offset Time Block2;Audio Visual Blank Screen Onset Time Block2;Audio Visual Blank Screen Offset Time Block2;Audio Visual Feedback Onset Time Block2;Audio Visual Feedback Offset Time Block2;Audio Visual Stimuli On Screen Time Block2;Audio Visual Presented Condition Block2;Audio Visual Answers Block2;Audio Visual Answer Codes Block2;Visual ReactionTime Block3;Visual Stimuli Onset Time Block3;Visual Stimuli Offset Time Block3;Visual Fixation Cross Onset Time Block3;Visual Fixation Cross Offset Time Block3;Visual Blank Screen Onset Time Block3;Visual Blank Screen Offset Time Block3;Visual Feedback Onset Time Block3;Visual Feedback Offset Time Block3;Visual Stimuli On Screen Time Block3;Visual Presented Condition Block3;Visual Answers Block3;Visual Answer Codes Block3;Audio ReactionTime Block3;Audio Stimuli Onset Time Block3;Audio Stimuli Offset Time Block3;Audio Fixation Cross Onset Time Block3;Audio Fixation Cross Offset Time Block3;Audio Blank Screen Onset Time Block3;Audio Blank Screen Offset Time Block3;Audio Feedback Onset Time Block3;Audio Feedback Offset Time Block3;Audio Stimuli On Screen Time Block3;Audio Presented Condition Block3;Audio Answers Block3;Audio Answer Codes Block3;Audio Visual ReactionTime Block3;Audio Visual Stimuli Onset Time Block3;Audio Visual Stimuli Offset Time Block3;Audio Visual Fixation Cross Onset Time Block3;Audio Visual Fixation Cross Offset Time Block3;Audio Visual Blank Screen Onset Time Block3;Audio Visual Blank Screen Offset Time Block3;Audio Visual Feedback Onset Time Block3;Audio Visual Feedback Offset Time Block3;Audio Visual Stimuli On Screen Time Block3;Audio Visual Presented Condition Block3;Audio Visual Answers Block3;Audio Visual Answer Codes Block3;Visual ReactionTime Block4;Visual Stimuli Onset Time Block4;Visual Stimuli Offset Time Block4;Visual Fixation Cross Onset Time Block4;Visual Fixation Cross Offset Time Block4;Visual Blank Screen Onset Time Block4;Visual Blank Screen Offset Time Block4;Visual Feedback Onset Time Block4;Visual Feedback Offset Time Block4;Visual Stimuli On Screen Time Block4;Visual Presented Condition Block4;Visual Answers Block4;Visual Answer Codes Block4;Audio ReactionTime Block4;Audio Stimuli Onset Time Block4;Audio Stimuli Offset Time Block4;Audio Fixation Cross Onset Time Block4;Audio Fixation Cross Offset Time Block4;Audio Blank Screen Onset Time Block4;Audio Blank Screen Offset Time Block4;Audio Feedback Onset Time Block4;Audio Feedback Offset Time Block4;Audio Stimuli On Screen Time Block4;Audio Presented Condition Block4;Audio Answers Block4;Audio Answer Codes Block4;Audio Visual ReactionTime Block4;Audio Visual Stimuli Onset Time Block4;Audio Visual Stimuli Offset Time Block4;Audio Visual Fixation Cross Onset Time Block4;Audio Visual Fixation Cross Offset Time Block4;Audio Visual Blank Screen Onset Time Block4;Audio Visual Blank Screen Offset Time Block4;Audio Visual Feedback Onset Time Block4;Audio Visual Feedback Offset Time Block4;Audio Visual Stimuli On Screen Time Block4;Audio Visual Presented Condition Block4;Audio Visual Answers Block4;Audio Visual Answer Codes Block4
1,759998;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Incongruent;Correct;1;1,199999;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Incongruent;Correct;1;0;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Neutral;None;0;1,259999;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Congruent;Correct;1;0;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Incongruent;None;0;0;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Incongruent;None;0;1,159999;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Incongruent;Incorrect;2;1,099999;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Neutral;Correct;1;1,219999;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Congruent;Correct;1;1,439999;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Incongruent;Correct;1;0,9799991;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Incongruent;Correct;1;1,219999;1,02;1,219999;0,02;1,02;1,219999;6,219995;6,219995;6,719995;0,1999998;Incongruent;Correct;1
0;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Neutral;None;0;0;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Neutral;None;0;0,7400107;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Congruent;Incorrect;2;0;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Congruent;None;0;0;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Neutral;None;0;1,340024;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Neutral;Correct;1;0;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Congruent;None;0;1,220022;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Congruent;Incorrect;2;0;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Incongruent;None;0;0;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Neutral;None;0;0;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Incongruent;None;0;0;7,739994;7,939993;6,739995;7,739994;7,939993;12,94011;12,94011;13,44012;0,1999998;Congruent;None;0
0;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Incongruent;None;0;0;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Neutral;None;0;0;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Congruent;None;0;0,3000069;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Incongruent;Incorrect;2;0;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Neutral;None;0;0;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Congruent;None;0;0;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Congruent;None;0;1,30003;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Neutral;Correct;1;1,220028;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Congruent;Correct;1;0;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Incongruent;None;0;0;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Congruent;None;0;0;14,46014;14,66015;13,46012;14,46014;14,66015;19,66026;19,66026;20,16027;0,2000046;Incongruent;None;0
1,060024;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Incongruent;Correct;1;0;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Congruent;None;0;1,100025;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Neutral;Correct;1;0;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Neutral;None;0;0;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Incongruent;None;0;0;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Incongruent;None;0;0;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Congruent;None;0;0;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Incongruent;None;0;1,160027;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Incongruent;Incorrect;2;1,540035;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Congruent;Correct;1;0,6200142;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Neutral;Correct;1;0;21,18029;21,3803;20,18027;21,18029;21,3803;26,38041;26,38041;26,88042;0,2000046;Neutral;None;0
0,3200073;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Congruent;Correct;1;1,240028;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Congruent;Correct;1;1,060024;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Incongruent;Correct;1;1,280029;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Neutral;Correct;1;0;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Congruent;None;0;0,700016;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Neutral;Correct;1;1,220028;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Incongruent;Correct;1;1,260029;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Incongruent;Correct;1;0;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Neutral;None;0;0;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Incongruent;None;0;0;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Congruent;None;0;1,080025;27,90045;28,10045;26,90042;27,90045;28,10045;33,10057;33,10057;33,60058;0,2000046;Congruent;Correct;1
0;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Neutral;None;0;0;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Incongruent;None;0;1,340031;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Incongruent;Correct;1;0;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Incongruent;None;0;1,200027;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Congruent;Correct;1;0;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Incongruent;None;0;1,240028;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Neutral;Correct;1;3,08007;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Congruent;Correct;1;1,040024;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Incongruent;Correct;1;1,180027;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Congruent;Correct;1;0;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Congruent;None;0;1,420033;34,6206;34,82061;33,62058;34,6206;34,82061;39,82072;39,82072;40,32073;0,2000046;Neutral;Correct;1
0;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Incongruent;None;0;0;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Congruent;None;0;2,040047;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Incongruent;Correct;1;1,180027;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Incongruent;Correct;1;0;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Congruent;None;0;2,260052;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Neutral;Correct;1;0;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Congruent;None;0;1,160027;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Incongruent;Correct;1;0;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Incongruent;None;0;0;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Neutral;None;0;0;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Congruent;None;0;1,140026;41,34076;41,54076;40,34073;41,34076;41,54076;46,54087;46,54087;47,04089;0,2000046;Incongruent;Correct;1
1,420033;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Congruent;Correct;1;0;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Incongruent;None;0;0;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Congruent;None;0;1,660038;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Neutral;Correct;1;0;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Neutral;None;0;1,160027;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Incongruent;Correct;1;1,220028;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Incongruent;Correct;1;2,980068;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Incongruent;Incorrect;2;0;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Neutral;None;0;1,080025;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Congruent;Correct;1;0,3200073;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Neutral;Incorrect;2;1,220028;48,06091;48,26091;47,06089;48,06091;48,26091;53,26103;53,26103;53,76104;0,2000046;Incongruent;Correct;1
0;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Neutral;None;0;1,100025;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Neutral;Correct;1;1,240028;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Incongruent;Correct;1;0;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Neutral;None;0;1,000023;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Incongruent;Correct;1;0;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Congruent;None;0;0;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Neutral;None;0;0;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Neutral;None;0;1,280029;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Neutral;Correct;1;0;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Incongruent;None;0;0;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Neutral;None;0;1,280029;54,78106;54,98107;53,78104;54,78106;54,98107;59,98118;59,98118;60,48119;0,2000046;Neutral;Correct;1
0;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Congruent;None;0;0;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Congruent;None;0;0;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Neutral;None;0;0,960022;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Congruent;Correct;1;0;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Incongruent;None;0;0;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Congruent;None;0;1,30003;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Incongruent;Correct;1;0;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Congruent;None;0;1,140026;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Neutral;Correct;1;0;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Neutral;None;0;0;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Incongruent;None;0;2,100048;61,50122;61,70122;60,50119;61,50122;61,70122;66,70082;66,70082;67,20074;0,2000046;Congruent;Correct;1
