ReactionTime;Stimuli Onset Time;Stimuli Offset Time;Stimuli On Screen Time
1,199999;1,02;1,519999;0,4999995
1,220005;7,039994;7,539994;0,4999995
1,260029;13,06011;13,56012;0,5000114
0,960022;19,08025;19,58026;0,5000114
1,340031;25,10038;25,6004;0,5000114
0,9000206;31,12052;31,62053;0,5000114
0,9800224;37,14066;37,64067;0,5000114
1,240028;43,1608;43,66081;0,5000114
1,460033;49,18093;49,68095;0,5000114
1,000023;55,20107;55,70108;0,5000114
1,32003;61,22121;61,72122;0,5000114
0,8198624;67,24073;67,74065;0,4999161

